,0
0,8.06225774829855
1,8.602325267042627
2,11.40175425099138
3,4.47213595499958
4,5.0
5,13.45362404707371
6,13.45362404707371
7,7.615773105863909
8,1.0
9,1.4142135623730951
10,1.0
11,3.605551275463989
12,3.1622776601683795
13,5.0990195135927845
14,5.385164807134504
15,2.0
16,7.0710678118654755
17,3.605551275463989
18,21.37755832643195
19,29.68164415931166
20,7.810249675906654
21,17.46424919657298
22,17.029386365926403
23,9.486832980505138
24,3.0
25,16.0312195418814
26,18.0
27,7.615773105863909
28,6.324555320336759
29,21.470910553583888
30,26.476404589747453
31,18.24828759089466
32,6.4031242374328485
33,3.0
34,14.035668847618199
35,41.593268686170845
36,25.317977802344327
37,8.0
38,10.04987562112089
39,7.0710678118654755
40,6.082762530298219
41,45.31004303683677
42,10.295630140987
43,18.027756377319946
44,40.792156108742276
45,18.027756377319946
46,5.830951894845301
47,6.4031242374328485
48,36.71511950137164
49,9.219544457292887
50,6.082762530298219
51,4.47213595499958
52,2.23606797749979
53,3.1622776601683795
54,2.23606797749979
55,1.0
56,4.123105625617661
57,0.0
58,0.0
59,113.01769772916099
60,67.91170738539859
61,33.06055050963308
62,16.492422502470642
63,3.605551275463989
64,2.23606797749979
65,2.8284271247461903
66,3.0
67,2.23606797749979
68,2.23606797749979
69,2.0
70,3.1622776601683795
71,4.242640687119285
72,5.656854249492381
73,4.0
74,3.605551275463989
75,10.04987562112089
76,2.0
77,4.47213595499958
78,5.385164807134504
79,6.708203932499369
80,7.211102550927978
81,1.4142135623730951
82,5.830951894845301
83,2.8284271247461903
84,1.0
85,2.0
86,8.246211251235321
87,4.47213595499958
88,8.54400374531753
89,22.825424421026653
90,2.8284271247461903
91,5.0
92,8.48528137423857
93,22.360679774997898
94,7.280109889280518
95,21.18962010041709
96,7.0710678118654755
97,18.681541692269406
98,9.055385138137417
