,0
0,9.848857801796104
1,7.810249675906654
2,11.40175425099138
3,5.0
4,6.708203932499369
5,12.041594578792296
6,14.142135623730951
7,7.280109889280518
8,2.23606797749979
9,1.4142135623730951
10,1.0
11,3.605551275463989
12,3.1622776601683795
13,4.47213595499958
14,5.0
15,2.0
16,7.0710678118654755
17,3.605551275463989
18,21.213203435596427
19,28.653097563788805
20,9.433981132056603
21,15.231546211727817
22,18.027756377319946
23,10.44030650891055
24,3.1622776601683795
25,18.24828759089466
26,19.1049731745428
27,7.211102550927978
28,8.06225774829855
29,21.95449840010015
30,27.892651361962706
31,18.681541692269406
32,6.708203932499369
33,2.0
34,14.035668847618199
35,44.14748010928823
36,25.079872407968907
37,7.0710678118654755
38,10.04987562112089
39,7.0710678118654755
40,6.0
41,51.07837115648854
42,9.219544457292887
43,18.0
44,41.23105625617661
45,18.110770276274835
46,4.47213595499958
47,7.810249675906654
48,39.44616584663204
49,9.486832980505138
50,5.0990195135927845
51,4.123105625617661
52,2.23606797749979
53,3.1622776601683795
54,2.23606797749979
55,1.0
56,4.123105625617661
57,0.0
58,0.0
59,112.0044641967453
60,67.91170738539859
61,33.015148038438355
62,16.76305461424021
63,3.605551275463989
64,1.4142135623730951
65,2.23606797749979
66,2.23606797749979
67,2.8284271247461903
68,1.0
69,3.1622776601683795
70,3.1622776601683795
71,5.0
72,4.47213595499958
73,4.0
74,3.0
75,12.165525060596439
76,1.0
77,6.082762530298219
78,4.0
79,6.708203932499369
80,7.211102550927978
81,2.23606797749979
82,7.211102550927978
83,2.23606797749979
84,1.0
85,1.4142135623730951
86,6.708203932499369
87,5.385164807134504
88,8.94427190999916
89,24.698178070456937
90,4.242640687119285
91,5.0990195135927845
92,8.06225774829855
93,22.825424421026653
94,7.0710678118654755
95,22.135943621178654
96,10.04987562112089
97,22.135943621178654
98,8.0
